Title,Company,Salary_Min,Salary_Max,Region,Skills_Req,Link,Salary_Text
Senior Data Scientist (ЦУНДО),СБЕР,300000,350000,"Москва,","Ищем Senior Data Scientist в команду Центра управления наличным денежным обращением (ЦУНДО) для ведения направления по созданию комплексных моделей, AI-агентов и проведению статистического анализа данных для принятия оптимальных операционных и стратегических решений по области задач, связанных с наличным денежным обращением. Обязанности реализация, контроль и поддержка полного цикла инициатив по процессам наличного денежного обращения с DS/ML/GenAI составляющей построение прогнозных и оптимизаци",https://www.rabota.ru/vacancy/54281041/,300 000 — 350 000 руб.
Senior/Lead Data Scientist LLM агенты (Финансы),СБЕР,0,0,"Москва,","Мы ищем целеустремленного и амбициозного Middle Data Scientist, который готов развиваться в области построения AI-агентов, LLM-приложений, ML-моделей и Финансов. Мы отвечаем за задачи по AI-трансформации, связанные с Блоком Финансы. Задачи покрывают различные бизнес-процессы: ценообразование на портфельном и индивидуальном уровне, установление единых трансфертных ставок банка, бизнес-планирование и др. Основная задача - создание и развитие AI-агентов и сервисов на базе LLM, направленных на автом",https://www.rabota.ru/vacancy/54279015/,по договоренности
Middle+ Data Scientist (портфельные модели),СБЕР,0,0,"Москва,","Мы в поиске увлеченного своим делом и амбициозного специалиста по Data Science, который хочет прокачивать свои навыки в AI, ML и финансах. Мы отвечаем за задачи по AI-трансформации, связанные с Блоком Финансы, нашим основным заказчиком является Казначейство Сбера. Нашей задачей является внедрение AI и ML в таких процессах, как продуктовое ценообразование на портфельном и индивидуальном уровне, установление единых трансфертных ставок, бизнес-планирование, с целью улучшения финансовых показателей ",https://www.rabota.ru/vacancy/54278993/,по договоренности
Senior Data Engineer / Data Analyst,СБЕР,0,0,"Москва,","Мы — команда из 9 человек (DE, DA, DS), занимаемся полным циклом разработки, внедрения и оценки эффекта AI-моделей для сети отделений Сбера. Ключевые направления нашей работы — разработка GenAI решений для сокращения рисков при обслуживании клиентов в отделениях. Ищем сильного и самостоятельного Data Engineer / Data Analyst. Идеальный кандидат умеет брать ответственность за данные: от первичного анализа до создания промышленных витрин, а также готов выступать инженерным мостом между Data Science",https://www.rabota.ru/vacancy/54268925/,по договоренности
Data Engineer,СБЕР,243700,0,"Москва,","ИТ B2C — самая крупная экосистема в Сбере. Нас более 8000 человек в 18 городах России. Мы занимаемся разработкой и развитием розничных решений, помогая сделать сервисы Банка доступнее, безопаснее и удобнее. Мы, команда офиса CDO B2C, строим платформу данных, которая обеспечивает быстрый, надежный и качественный обмен информацией между Сбером и компаниями-партнерами. Это основа для персонализированных предложений умных продуктов и эффективных бизнес-решений. Наша команда - Команда развития Платфо",https://www.rabota.ru/vacancy/54281379/,от 243 700 руб.
Data Engineer,СБЕР,240000,0,"Москва,","Прикладная аналитическая платформа Блока Риски - это решение, позволяющее создавать аналитические витрины на Облаке Данных по различным направлениям бизнеса таких как: расчет оптимальных стратегий взыскания расчет предложений по реструктуризации расчет компонентов кредитного риска PD, LGD, EAD ускорение расчета RWA процесс калибровки промышленных моделей аналитика по портфелю, взысканию и фроду У нас более 120 витрин, 2000+ потоков загрузки данных, 1200 нод, 40 000 ядер и 25+ петабайт данных. Об",https://www.rabota.ru/vacancy/54280228/,от 240 000 руб.
Data-инженер,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,250000,280000,"Москва,","MS Office, MS Office  Excel, MS Office Word, работа с документами, Python, Apache Spark, Опыт работы с Apache Airflow, Опыт разработки ETL/ELT-пайплайнов, Apache Iceberg",https://www.rabota.ru/vacancy/54268078/,250 000 — 280 000 руб.
Бизнес-аналитик,СберСтрахование,0,0,"Москва,","Для запуска продукта ""Реферальная программа с элементами геймификации"" требуется аналитик с опытом проведения бизнес и системного анализа (T-shape). Обязанности Разработка аналитических материалов для процессов реализации реферальной программы с элементами геймификации для клиентов на различных платформах: WEB, мобильное приложение; Сопровождение и документирование бизнес требований для роцессов реализации реферальной программы с элементами геймификации для клиентов вна различных платформах: WEB",https://www.rabota.ru/vacancy/54274962/,по договоренности
Актуарный аналитик (МСФО 17),"АО ""НПФ Сбербанка""",0,0,"Москва,","НПФ Сбербанка расширяет актуарную функцию и ищет аналитика-актуария для работы с финансовыми моделями и отчетностью по МСФО 17. Роль предполагает участие в ключевых процессах: от расчёта обязательств и анализа результатов до автоматизации и построения прогнозных моделей. Обязанности Разработка и сопровождение моделей денежных потоков по пенсионным продуктам и обязательствам фонда; Расчёт и анализ актуарных метрик (резервы, обязательства, чувствительность); Участие в подготовке отчетности по МСФО",https://www.rabota.ru/vacancy/54271347/,по договоренности
Системный аналитик (AI),СФН,0,0,"Москва,","Мы ищем системного аналитика с опытом работы в сфере искусственного интеллекта (AI) для активного участия в разработке и внедрении инновационных решений на базе AI, направленных на повышение эффективности наших бизнес-процессов. Обязанности Работа над реализацией масштабируемых решений с использованием технологий искусственного интеллекта (ML, GenAI, LLMs, RAG, AI Agent и Multi AI Agents); Изучение реальных проблем бизнеса и превращение их в эффективные AI-решения; Активное участие в роли систем",https://www.rabota.ru/vacancy/54268068/,по договоренности
Бизнес-аналитик,Страховой брокер Сбербанка,0,0,"Москва,","Мы — ищем опытного Бизнес-аналитика в ИТ команду Страхового Брокера Сбербанка. Мы создаем ядро цифровой страховой платформы и ищем бизнес-аналитика для работы с Product Owner над риск-модулями. Ваша задача – помочь как можно быстрее дойти до первого работающего MVP, глубоко погружаясь в страховые процессы и логику работы с рисками. Наша цель — создавать надежный, масштабируемый и технологически совершенный продукт, для внешнего и внутреннего клиента по предоставлению брокерских услуг на рынке ст",https://www.rabota.ru/vacancy/54276380/,по договоренности
Менеджер по работе с маркетплейсами/Аналитик роста продаж,"JCat, сервис размещения объявлений",100000,250000,"Москва,","высокая скорость работы, анализ рынка, анализ продаж, аналитические способности, анализ финансовой отчетности, Визуализация данных, Знание ассортимента, анализ целевой аудитории, Взаимодействие с руководителями подразделений, Анализ статистики и продвижение, Знание современных техник, Ведение аккаунтов на маркетплейсах, Взаимодействие с командами, Взаимодействие с командами разработки, Внедрение новых подходов, Анализ продуктивности",https://www.rabota.ru/vacancy/54278601/,100 000 — 250 000 руб.
Аналитик данных (программист),ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,250000,280000,"Москва,","MS Office, MS SQL Server, PostgreSQL, анализ бизнес-процессов, системный анализ, Python, SQL",https://www.rabota.ru/vacancy/54278712/,250 000 — 280 000 руб.
Аналитик 1С,Jobers,120000,150000,"Москва,","аналитика продаж, внутренний контроль, 1C: Бухгалтерия, 1С: Управление торговлей, 1С: Предприятие 8",https://www.rabota.ru/vacancy/54270940/,120 000 — 150 000 руб.
Главный аналитик в Ситуационный Центр,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,180000,200000,"Москва,","MS Office, MS Office  Excel, MS Office Word, MS PowerPoint, анализ информации, Python, SQL, Работа с большим объемом информации, BPMN",https://www.rabota.ru/vacancy/54267305/,180 000 — 200 000 руб.
Аналитик / разработчик Apache Superset,Альфастат,60000,80000,"Москва,","Python, SQL, Анализ данных, Business intelligence, Apache Superset",https://www.rabota.ru/vacancy/53216362/,60 000 — 80 000 руб.
"Аналитик/Специалист по обработке данных (DP, Market Research)","ООО ""Профи Исследования""",70000,100000,"Москва,","Обязанности : Консультирование существующих и потенциальных клиентов по разработке дизайнов исследований Ведение текущих исследовательских проектов, разработка методологии, контроль выполнения условий, предусмотренных заключенными договорами Ведение аналитической части исследовательских проектов и контроль качества Расчет размеров и структуры выборок Проверка и подготовка баз данных к расчетам Проведение расчетов в статпакетах SPSS и Excel Подготовка и презентация отчетности Требования : Высшее ",https://www.rabota.ru/vacancy/52775053/,70 000 — 100 000 руб.
Бизнес-аналитик / Системный аналитик (Bitrix24 + бизнес-архитектура),GrowSquad,0,0,"Лагань,","оптимизация бизнес-процессов, анализ бизнес-процессов, системный анализ, описание бизнес-процессов, автоматизация бизнес-процессов, Битрикс24, BPMN",https://www.rabota.ru/vacancy/53906266/,по договоренности
CRM-специалист (ночная смена),Jobers,120000,150000,"Москва,","самостоятельность, усидчивость, уверенный пользователь ПК, обработка данных, ввод данных, Быстрая обучаемость, MS Excel, английский язык, внимательность к деталям, Анализ данных, Аналитическое мышление, CRM-системы, ведение статистики, работа с большими объёмами информации, Работа с CRM, проверка данных, Формирование отчётности, Data Entry, работа с таблицами, Google Sheets, Контроль качества данных",https://www.rabota.ru/vacancy/54263004/,120 000 — 150 000 руб.
Системный аналитик,"ООО ""ТРАНСНЕТ""",120000,200000,Russia,"Обязанности: Проектирование интеграционных взаимодействий Работа с СУБД: Postgres, Clickhouse, MySQL Опытное обращение с Swagger, Apollo GraphQL Проектирование структур хранения данных (постоянных / временных) Требования: Обладать навыками координации разработчиков смежных систем Знание базовых нотаций для проектирования процессов (UML, BPMN). Умение составлять и описывать процессы Базовые навыки работы с Git Опыт работы с терминалом Linux Умение вести и декомпозировать задачи в популярных инстр",https://www.rabota.ru/vacancy/50377275/,120 000 — 200 000 руб.
Системный аналитик (Данные и отчетность),СБЕР,100000,0,"Москва,","Наша команда обеспечивает данными сегмент Private Banking, а также разрабатывает клиентскую и управленческую отчётность для этого сегмента. Мы работаем с самыми важными и состоятельными клиентами банка и стремимся создавать для них максимально качественные продукты. Команда обладает полным стеком компетенций и закрывает весь цикл работ — от улучшения продукта до его реализации. Обязанности Написание BRD (бизнес-требований) и FSD (функциональных спецификаций) Разработка FSD на создание витрин дан",https://www.rabota.ru/vacancy/54281258/,от 100 000 руб.
Аналитик данных,СБЕР,0,0,"Москва,","В команду ипотечного страхования недвижимости требуется аналитик данных. Обязанности формирование специализированных выгрузок и отчётов посредством составления сложных SQL-запросов глубокий анализ клиентского поведения, сегментация клиентской базы, выявление трендов и закономерностей создание интерактивных дашбордов для отслеживания основных KPI и аналитики продуктивности отдела продаж прогнозирование динамики доходов и расходов, разработка сценариев развития бизнеса построение и проверка гипоте",https://www.rabota.ru/vacancy/54281002/,по договоренности
Руководитель направления по аналитике данных (HR-платформа),СБЕР,300000,0,"Москва,","Мы ищем опытных специалистов, готовых решать амбициозные задачи в сфере HR-технологий Сбера. Если вы хотите создавать инновационные продукты и сервисы, влияющие на развитие сотрудников крупнейшей финансовой организации страны — эта позиция для вас! Важно: Наши продукты активно используют AI-агентов (виртуальных ассистентов, системы рекомендаций, автоматизированные HR-помощники). Именно данные и аналитика станут «мозгом» этих агентов. Ваша роль — не просто анализировать прошлое, а создавать алгор",https://www.rabota.ru/vacancy/54281352/,от 300 000 руб.
Менеджер проектов (количественные маркетинговые исследования),"ООО ""Марк Аналитик""",0,0,"Москва,","MS PowerPoint, маркетинговые исследования, MS Excel, IBM SPSS, Research, Количественные исследования, Сегментация, marketing research",https://www.rabota.ru/vacancy/52111636/,по договоренности
ML инженер (middle+),СБЕР,240000,0,"Москва,","Универсальный Агент / База знаний Ops — производственный AI-продукт внутри Сбербанка, автоматизирующий деятельность операционного центра. Операционный центр обрабатывает порядка 3 000 типов задач ежедневно: анализ документов, верификация данных, сверка информации между банковскими системами. Продукт состоит из двух агентных систем, которые работают в связке: УИЦС (Создатель навыков) Агент-компилятор знаний. Читает стандартные операционные процедуры (СОП) и инструкции, преобразует их в машиноиспо",https://www.rabota.ru/vacancy/54280871/,от 240 000 руб.
"Head of ML (VLM, GigaChat Vision)",СБЕР,0,0,"Москва,","Привет! Это GigaChat Vision — команда, которая делает полный цикл обучения VLM моделей. Ищем руководителя направления ML VLM, который возглавит команду целиком: будет формировать техническую стратегию, собирать и развивать команду, синхронизировать ключевые направления и отвечать за результат от идеи до продакшна. Первый этап отбора на эту вакансию – общение с AI-рекрутером. После отклика вам на почту и в чат на платформе HeadHunter придет приглашение пройти первичное интервью с ГигаРекрутером в",https://www.rabota.ru/vacancy/54267207/,по договоренности
Middle DS / GenAI Agent Engineer,СБЕР,200000,300000,"Москва,","R&D-подразделение лаборатории кибербезопасности развивает платформу автономного наступательного тестирования нового поколения. В основе — мультиагентная роевая архитектура на базе LLM, объединяющая инструментальную автоматизацию, методологию MITRE ATT&CK и адаптивную оркестрацию атакующих сценариев. Мы строим среду, в которой LLM-агенты помогают воспроизводить действия Red Team: разведку, эксплуатацию, закрепление, горизонтальное перемещение — от единичных техник до полноценных цепочек атак. Отд",https://www.rabota.ru/vacancy/54280693/,200 000 — 300 000 руб.
Senior ML Engineer (GigaChat TTS),СБЕР,0,0,"Москва,","Наша команда отвечает за качество моделей TTS в SaluteSpeech – той части SberDevices, которая занимается звуком. Наш синтез можно услышать у ассистентов Салют, в колл-центре по номеру 900, в Сболе. Сейчас мы ищем ребят, которые будут работать над базовым качеством, мультимодальным Гигачатом и другими классными проектами. Как у нас все устроено: команда живет в 4 городах, общаемся текстом и по видео, иногда пьем пиво; работать можно в удобное время, обязательных созвонов 1-3 в неделю; очень много",https://www.rabota.ru/vacancy/54268473/,по договоренности
Intern Computer Vision Engineer (SberAI),СБЕР,0,0,"Москва,","Мы – команда Компьютерного зрения проекта Embodied AI. Наша ключевая задача — упростить и удешевить сбор данных для обучения роботов-гуманоидов. Для этого мы дообучаем и комбинируем современные мультимодальные модели, развиваем методы понимания трёхмерной сцены и строим пайплайны, которые автоматически преобразуют сырые эгоцентричные фото и видео в структурированную разметку, пригодную для обучения моделей. Обязанности Разработка и поддержка end-to-end пайплайнов обработки эгоцентричных видео: с",https://www.rabota.ru/vacancy/54267932/,по договоренности
Senior Data Scientist (Computer Vision SberAI),СБЕР,0,0,"Москва,","Команда разрабатывает интеллектуальную систему анализа видеоданных. Система позволяет на основе фактов из обработанных видео давать ответы пользователю на открытые вопросы. В основе лежит механизм мультиагентного взаимодействия и передовые модели VLM. Система может использоваться как для простого мониторинга, так и для поддержки принятия сложных управленческих решений. Обязанности анализ требований на разработку инфраструктуры для обработки видеоданных и запуска моделей выработка плана решения и",https://www.rabota.ru/vacancy/54262329/,по договоренности
Senior Deep Learning Engineer (Speech / Audio Foundation Models),СБЕР,0,0,"Москва,","Мы ищем сильного Deep Learning инженера для развития и вывода на принципиально новый уровень GigaAM — лучшей open-source модели для распознавания речи на русском языке. GigaAM — это не только исследовательский проект, но и core-модель, которая определяет качество работы многих ключевых продуктов экосистемы: GigaChat Audio, ASR, TTS, GigaChat Video и других. Сейчас мы стоим перед масштабным вызовом: кратное увеличение параметров модели, масштабирование данных на несколько порядков, расширение язы",https://www.rabota.ru/vacancy/54263776/,по договоренности
Senior Deep Learning Engineer (Speech LLM),СБЕР,0,0,"Москва,","О проекте: Мы ищем сильного Deep Learning инженера в команду, создающую ASR-системы нового поколения на пересечении технологий распознавания речи и audio-native LLM. Один из наших главных вызовов сейчас — разработка Next Gen LLM-based ASR. Это инструктивная система, которая выходит далеко за рамки обычного speech-to-text: она будет поддерживать выдачу временных меток, диаризацию спикеров, тегирование звуковых событий и key word prompting. База для быстрого старта уже готова: у нас есть мощный Fo",https://www.rabota.ru/vacancy/54263774/,по договоренности
Data Scientist Audio (Антидипфейк),СБЕР,250000,300000,"Москва,","Мы развиваем решения по выявлению поддельного и генеративного контента, видео-, аудио-дипфейков. Делаем Disruptive Research, а потом выкатываем его в пром. Мы находимся в поиске Data Scientist уровня Middle+/Senior для обработки Аудиоданных, который будет совершенствовать текущие методы детекции, разрабатывать и реализовывать новые, создавать SoTA решения. Обязанности поддержка и развитие существующего решения по детекции аудиодипфейков, контроль деградации модели и дообучение разработка новых а",https://www.rabota.ru/vacancy/54281034/,250 000 — 300 000 руб.
Медсестра,jobcart,0,70000,"Москва,","Вакансия компании ООО ""ЭМАЙЭЛСИ"" Добро пожаловать в MILC - Multicultural Innovative Learning Cluster.  MILC - это команда, построенная на доверии, поддержке и общих ценностях. Мы ценим профессионализм, открытость новому и готовность делиться знаниями. Если вы стремитесь к постоянному развитию, легко встраиваете современные технологии в учебный процесс, заботитесь о своём здоровье и предпочитаете активный, осознанный ритм жизни - вы наш человек. Присоединяйтесь. Отправьте резюме, и давайте вместе",https://www.rabota.ru/vacancy/54269793/,до 70 000 руб.
AI Engineer,СБЕР,0,0,"Москва,","Команда занимается разработкой Disrupt-решений в сфере Безопасности Сбера Цель команды – разработка инновационных решений, проверка гипотез, посредством подготовки MVP и PoC планируемых продуктов, поддержка продуктовых команд в части оперативной разработки. Обязанности разработка ML-алгоритмов разработка ML-моделей поддержка существующих AI-решений разработка AI-Агентов проработка AI-архитектуры внедрения решений в целевой процесс генерация идей. Требования высшее образование коммерческий опыт р",https://www.rabota.ru/vacancy/54280694/,по договоренности
Intern AI Research (Sber AI),СБЕР,0,0,"Москва,","Research команда Sber AI ищет стажера для проведения прикладных исследований в области Embodied AI. Одним из наших ключевых направлений является работа с такой физической модальностью, как запахи. Применение искусственного интеллекта для анализа запахов является малоизученным, но перспективным направлением, которое требует как фундаментального анализа с точки зрения химического состава изучаемых веществ, так и работу с физическими датчиками. Нашей основной задачей является получение эффективных ",https://www.rabota.ru/vacancy/54267772/,по договоренности
Senior AI Agent Engineer (блок финансы),СБЕР,0,0,"Москва,","Ищем сильного универсального разработчика в проект агента финансового анализа. Роль подойдёт специалисту, который умеет совмещать backend-разработку, интеграции, агентную логику и быстрое доведение новых сценариев до рабочего состояния. Обязанности Разработка и развитие backend-логики агента на Python Реализация новых сценариев финансового анализа Работа с документами, обработкой данных и аналитическими пайплайнами Подключение и развитие инструментов, необходимых для работы агента Интеграция с в",https://www.rabota.ru/vacancy/54263643/,по договоренности
Системный аналитик (антифрод),СБЕР,0,0,"Москва,","Мы - команда, создающая комплексную систему противодействия мошенничеству и обеспечивающая online/offline безопасность миллионов клиентов банка 24/7/365, предоставляя инструменты собственной разработки для: Построения графа связей (позволяет проанализировать не только объекты и их свойства, но также их связи с другими объектами различных уровней и характеристик и применяется для получения дополнительных знаний об объекте за счет извлечения знаний о его окружении, выявления наиболее значимой инфо",https://www.rabota.ru/vacancy/54279652/,по договоренности
Системный аналитик,СБЕР,0,350000,"Москва,","Sber Process Mining – система интеллектуального анализа бизнес-процессов от Сбера. Система позволяет на основе данных из информационных систем компаний делать автоматизированную аналитику с применением AI и BI инструментов. Process Mining позволяет обнаружить «узкие места» в бизнес-процессах, выявлять недобросовестные практики и потенциал к повышению эффективности процессов, росту прибыли компании и удовлетворенности клиентов. Обязанности сбор, детализация, уточнение требований формализация функ",https://www.rabota.ru/vacancy/54280617/,до 350 000 руб.
Специалист по контекстной рекламе,"ООО ""МЭЙН ТАРГЕТ ГРУПП""",0,0,"Москва,","Яндекс.Метрика, Яндекс.Директ, интернет-реклама, контекстная реклама, оптимизация рекламных кампаний",https://www.rabota.ru/vacancy/50435029/,по договоренности
Java-разработчик (Middle+),"АО ""НПФ Сбербанка""",0,0,"Москва,","Наша команда разрабатывает операции социально-значимого характера, направленные на развитие сервисов пост-продажных операций в сети ВСП пенсионных продуктов. Кроме того, наша команда занимается разработкой флагманского продукта Программа долгосрочных сбережений. Каждому новому сотруднику предоставляется ментор, который поможет быстро адаптироваться и освоиться в процессах. У каждой компетенции есть лидер, готовый оказать поддержку в сложных ситуациях. Обязанности Поддержка генерации и отбора иде",https://www.rabota.ru/vacancy/54276598/,по договоренности
Embedded-разработчик,"JCat, сервис размещения объявлений",150000,0,"Москва,",Программирование микроконтроллеров,https://www.rabota.ru/vacancy/54269193/,от 150 000 руб.
Python Developer (AI-агенты и LegalTech),СБЕР,0,0,"Москва,","Команда юридических ИИ-систем и автоматизации правового анализа Основной стек: Python 3.10+, FastAPI, LangChain / LangGraph, OpenSearch, Redis, Kafka Обязанности • Разработка и поддержка промышленных пайплайнов вокруг больших языковых моделей (LLM) — интеграция агентов, RAG-модулей, кэширования и асинхронных очередей. • Реализация многоагентных систем на базе LangGraph / LangChain — orchestration, routing, memory-модули, логика принятия решений. • Интеграция LLM API (GigaChat, OpenAI, Gemini, Qw",https://www.rabota.ru/vacancy/54280695/,по договоренности
